region,crop_type,fertilizer_type,fertilizer_amount
North,Maize,Phosphorus,123
West,Barley,Potassium,70
North,Onion,Organic,77
East,Carrot,Organic,136
North,Cucumber,Organic,86
Central,Tomato,Potassium,87
East,Spinach,Potassium,112
North,Sorghum,Phosphorus,101
East,Beetroot,Nitrogen,113
Central,Spinach,Organic,150
North,Maize,Nitrogen,75
South,Millet,Organic,96
Central,Potato,Organic,125
North,Tomato,Phosphorus,107
East,Millet,Phosphorus,111
East,Peas,Organic,104
Central,Cabbage,Phosphorus,84
West,Beetroot,Potassium,98
South,Tomato,Phosphorus,74
North,Spinach,Nitrogen,96
West,Maize,Nitrogen,106
East,Tomato,Nitrogen,103
North,Carrot,Phosphorus,112
Central,Cucumber,Nitrogen,79
North,Beetroot,Potassium,86
East,Tomato,Phosphorus,150
North,Spinach,Potassium,129
East,Rice,Potassium,145
Central,Rice,Nitrogen,87
North,Spinach,Organic,82
East,Spinach,Nitrogen,71
East,Rice,Phosphorus,78
South,Potato,Organic,84
East,Cabbage,Organic,142
Central,Sorghum,Potassium,84
North,Cabbage,Nitrogen,143
North,Spinach,Phosphorus,97
South,Peas,Potassium,71
East,Sorghum,Potassium,150
South,Millet,Organic,131
East,Rice,Potassium,71
Central,Beetroot,Organic,132
West,Carrot,Organic,97
Central,Tomato,Potassium,91
West,Rice,Nitrogen,139
East,Carrot,Potassium,131
North,Peas,Nitrogen,93
Central,Maize,Phosphorus,72
Central,Millet,Potassium,122
Central,Carrot,Nitrogen,122
Central,Barley,Nitrogen,70
South,Carrot,Nitrogen,100
South,Cabbage,Organic,99
East,Sorghum,Potassium,148
North,Millet,Organic,70
Central,Maize,Phosphorus,148
South,Cabbage,Potassium,80
South,Maize,Potassium,143
West,Barley,Potassium,97
Central,Spinach,Phosphorus,82
South,Maize,Potassium,80
West,Peas,Potassium,121
South,Cucumber,Organic,101
North,Peas,Organic,144
North,Potato,Potassium,119
West,Barley,Potassium,145
East,Spinach,Potassium,144
South,Tomato,Potassium,137
West,Barley,Potassium,94
East,Rice,Nitrogen,107
South,Maize,Nitrogen,131
North,Cabbage,Nitrogen,144
East,Cabbage,Organic,140
North,Peas,Nitrogen,79
Central,Sorghum,Organic,75
Central,Potato,Phosphorus,147
South,Rice,Organic,105
West,Peas,Potassium,95
East,Barley,Organic,75
South,Cabbage,Potassium,124
West,Onion,Organic,99
West,Cucumber,Phosphorus,103
East,Rice,Phosphorus,120
South,Onion,Nitrogen,96
South,Spinach,Nitrogen,118
East,Peas,Nitrogen,140
South,Rice,Phosphorus,135
West,Spinach,Organic,129
South,Carrot,Nitrogen,72
West,Beetroot,Phosphorus,97
East,Sorghum,Phosphorus,111
North,Peas,Nitrogen,125
North,Tomato,Nitrogen,139
West,Beetroot,Phosphorus,144
North,Cucumber,Potassium,77
West,Potato,Phosphorus,78
North,Rice,Potassium,108
West,Carrot,Nitrogen,137
West,Beetroot,Potassium,90
North,Carrot,Phosphorus,85
Central,Millet,Nitrogen,100
East,Onion,Nitrogen,78
South,Barley,Organic,93
West,Cucumber,Nitrogen,113
East,Potato,Organic,144
East,Sorghum,Nitrogen,80
East,Maize,Phosphorus,99
East,Sorghum,Nitrogen,113
West,Barley,Organic,130
East,Peas,Nitrogen,142
West,Peas,Phosphorus,117
East,Onion,Organic,149
West,Rice,Nitrogen,134
South,Potato,Potassium,149
South,Potato,Phosphorus,111
South,Millet,Potassium,85
South,Maize,Organic,146
South,Spinach,Potassium,130
East,Barley,Potassium,148
South,Cucumber,Nitrogen,116
East,Carrot,Organic,150
South,Barley,Phosphorus,127
South,Peas,Phosphorus,123
South,Cabbage,Potassium,89
North,Potato,Potassium,114
North,Tomato,Organic,76
North,Sorghum,Potassium,112
South,Beetroot,Potassium,125
North,Sorghum,Potassium,120
South,Cucumber,Organic,80
East,Onion,Nitrogen,85
South,Spinach,Nitrogen,134
West,Maize,Phosphorus,125
South,Carrot,Potassium,98
North,Potato,Phosphorus,74
West,Millet,Organic,91
East,Cabbage,Potassium,124
Central,Maize,Phosphorus,120
West,Beetroot,Potassium,122
East,Potato,Nitrogen,138
North,Maize,Phosphorus,106
North,Beetroot,Nitrogen,131
Central,Maize,Potassium,136
Central,Cabbage,Organic,105
North,Tomato,Potassium,99
East,Millet,Organic,92
North,Tomato,Nitrogen,136
West,Rice,Phosphorus,149
North,Barley,Phosphorus,110
West,Spinach,Phosphorus,91
South,Tomato,Potassium,150
North,Maize,Phosphorus,117
West,Carrot,Nitrogen,78
Central,Rice,Phosphorus,149
